emd, seed
1.264, 1640514607
1.409, 1193976549
1.287, 567798408
1.253, 818608693
1.275, 2064719489
1.467, 6849925
1.303, 1822556975
1.350, 2078797010
1.533, 679775819
1.238, 1
1.296, 1126046607
1.319, 2099977519
1.574, 160483949
1.273, 1908781080
1.273, 2008102734
1.222, 317331638
1.452, 1589076274
1.413, 436657949
1.376, 1994079540
1.355, 1207866501
1.346, 1417171588
1.284, 559390348
1.273, 1206943242
1.740, 828702192
1.400, 499893397
1.569, 434214399
1.323, 126687014
1.606, 630442169
1.469, 1200125860
1.338, 638948466
1.557, 1682150025
